Metodo_Utilizado,Quantidade_Agentes,Tempo_Computacional_Medio_ms,Total_Colisoes,Tempo_Total_Conclusao_s,Distancia_Extra_Percorrida
Direta,5,0.0037,0,5.4667,48.21
Direta,10,0.0081,0,5.6333,101.26
Direta,15,0.0071,7,60.0000,84.15
Direta,20,0.0126,4,60.0000,122.81
Direta,30,0.0227,31,60.0000,126.20
Indireta,5,0.0115,0,7.3000,106.34
Indireta,10,0.0184,1,9.1333,145.29
Indireta,15,0.0273,4,7.5000,114.75
Indireta,20,0.0381,7,7.9667,111.86
Indireta,30,0.0503,15,8.1833,125.69
Sem_Comunicacao,5,0.0023,0,6.9667,96.49
Sem_Comunicacao,10,0.0044,1,6.0833,72.90
Sem_Comunicacao,15,0.0017,3,60.0000,69.83
Sem_Comunicacao,20,0.0065,2,9.1333,90.90
Sem_Comunicacao,30,0.0107,4,8.1333,90.98
